Job Title,Key Skills,Functional Area,Industry,Predicted_Category
Software Developer, javascript| sql| php| php mysql| css| software development| technical| photoshop| mca| ajax| jquery| application| web| design| mysql| html,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Associate/Senior Associate -(NonTechnical), Relationship management| Relationship building| Client relationship| Training| Analytical skills| Process mapping| Standard operating procedures| Agile| Management| Visa processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",IT
Software Developer, android| btech| iphone| server| analytical| developing| ios| platforms| objective c| web| xml| design| json| programming| development| c| testing| mobile| xcode| application development| eclipse| application| sdk| applications,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Associate/Senior Associate -(NonTechnical), cca| bpo| csr| international bpo| customer service| outbound process| customer care| tourism| customer support| fresher| voice process| inbound process| cse| bpo fresher| voice support| hotel| travel,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Software Developer, bca| graphics| application development| b tech| core| b sc| application| b e| ios| publishing| animation,IT Software - Mobile,"IT-Software, Software Services",IT
Team Leader -(NonTechnical), Accounting| Continuous Improvement| Process Improvement| Load Balancing| Lean Six Sigma| Black Belt| Training| Green Belt| Process re - engineering| Process Excellence| Business Excellence| OTC,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Content Developer, Automobile| Digital Content| Content Development| Production| Web Content Writing,"Journalism , Editing , Content","Media, Entertainment, Internet",IT
Sales/Business Development Manager, Tourism| target achievement| negotiation skills| revenue management| Tour Packages,"Sales , Retail , Business Development","Aviation, Aerospace, Aeronautical",Others
Software Developer, PHP| Networking| Data structures| HTTP| JSON| Software design| Computer science| System design| Backend| Ticketing,"IT Software - Application Programming , Maintenance","Internet, Ecommerce",IT
DBA, WebLogic| configuration| MySQL| installation| Oracle DBA| troubleshooting| Oracle RAC,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",IT
HR Executive, Service level| Data management| HR Coordinator| Management audit| HR operations| Human resource management,"HR , Recruitment , Administration , IR","Industrial Products, Heavy Machinery",Others
Software Developer, Graphics| C++| Windows OS| Linux| high performance computing| Test cases| System software| Gaming| FreeBSD,"IT Software - Application Programming , Maintenance","Telcom, ISP",IT
Head/VP/GM/National Manager -Sales, Sales| Team Building| Strategic Leadership| Real Estate| Field Sales| Sales Strategy| Enterprise Business| Go - to - market Strategy| Enterprise sales| Sales Executive Activities| Marketing,"Sales , Retail , Business Development","Real Estate, Property",Others
Centre Head / Branch Head / Club Manager, Facility Management| facility services,Beauty / Fitness / Spa Services,Facility Management,Others
Associate/Senior Associate -(NonTechnical),sds| radiology| CPT| icd - 10| EM| medical coding| coders| surgery| ed,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Sales/Business Development Manager, Market analysis| Public relations| CV| Relationship building| Market intelligence| Prospecting| Budgeting| Sales process| Branding,"Sales , Retail , Business Development","Recruitment, Staffing",Others
HR Executive, ERP| MIS| Succession Planning| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,"HR , Recruitment , Administration , IR","IT-Software, Software Services",Others
Sales/Business Development Manager, revenue generation| marketing| ad sales| web technologies,"Sales , Retail , Business Development","Internet, Ecommerce",Others
Project Architect, co ordination| team management| drafting| loans| online| coordination| quality,"Architecture , Interior Design","BPO, Call Centre, ITeS",IT
Software Developer, English| PHP| XML| DOM| SOAP| Com| Web technologies| Written communication| Email| Time,IT Software - Other,"Recruitment, Staffing",IT
System Analyst, cloud| puppet| python| git| KVM| linux| jenkins| openstack| ansible,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Software Developer,National| Branch| Vice President| J2Ee| Software,"IT Software - Application Programming , Maintenance","Strategy, Management Consulting Firms",IT
Software Developer, Mentor| Android| Consulting| Usage| development| software| mobile| it| SIDE| Front end| Web technologies| Coding| web| backend| Open source| programming| Investment,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",IT
Testing Engineer, Performance Testing| Software Testing| Manual Testing| Quality Testing,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Associate/Senior Associate -(NonTechnical), international bpo| bpo| kpo| web chat| non voice process| e mail| international call center| customer service representative| cse| interpersonal skills| ites| uk shift| customer service| e - commerce| customer care| customer support| bpo fresher,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",IT
Front Office/Guest Relations Executive/Manager, Innovative| Aggressive,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Others
Design Engineer, Communication Skills| Detail Engineering| Material Handling| AutoCAD| Detailing| Design Engineering| Microstation| Bid Evaluation,"Engineering Design , R&D","Oil and Gas, Energy, Power, Infrastructure",IT
Software Developer, design| android| erp| software| mvc| quality,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Technical Writer, Technical Writing| Technical Documentation| Articles| Writing Skills| Product Support,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",IT
Design Engineer, Ansys| thermal| MATLAB| System design| Recruitment| MCCB| Electricals,"Engineering Design , R&D","Recruitment, Staffing",IT
Sales/Business Development Manager, Product placement| Market research| Distributor handling| Business Development Executive| Customer service| Customer Service Executive| Secondary sales| Supervision,"Sales , Retail , Business Development","Textiles, Garments, Accessories",Others
Accounts Executive/Accountant, Management accounting| Accounting| VAT| Book Keeping| SAGE| Tax returns,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Others
Sales/Business Development Manager, Trade| Forex Trading| Forex| fx| Lead Generation| Accounting| Banking| Revenue Generation| Current Account,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Others
Software Developer, XML| Javascript| PHP| development| css| technical| analytical| software| testing| HTML| tools| Joomla| coding| jQuery| web| MySQL| Wordpress| design| XHTML| debugging| Ajax,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Engineering Manager, zld| Engineering Management| knitting,"Production , Manufacturing , Maintenance","Textiles, Garments, Accessories",Others
Accounts Executive/Accountant, Analyst| ERP| Change management| Business objects| Managed services| Business process mapping| Executive management| Data mining| oracle project accounting| Testing,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Others
Training Manager, ERP| Succession Planning| MIS| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,"HR , Recruitment , Administration , IR","Construction, Engineering, Cement, Metals",Others
Software Developer, Intern| Linux| Windows| Unix| DNS| C++| Perl| IIS| Redhat| HTTP,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Software Developer, C| Woocommerce| Magento| Wordpress| MySQL| PHP| Shopify| JQuery| Web Development| Ajax,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Software Developer, CSS| Singleton| XML| Javascript| JDBC| Struts| JSON| HTML| Spring Boot| JQuery,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Sales/Business Development Manager, Business Development Management| Bd| Marketing| business development| Projects| business development manager| bdm| Tendering| Proposal,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Others
Testing Engineer, Ethical Hacking| Certified Ethical Hacker| Networking Protocols| Penetration Testing| Nessus| NMAP| Fortify| Vulnerability Assessment| Appscan| Qualys,IT Software - QA & Testing,"IT-Software, Software Services",IT
Graphic Designer, Graphic designing| Graphics| adobe creative suite| Architecture| MS Office| Business Executive,"Design , Creative , User Experience","Architecture, Interior Design",Others
Sales Executive/Officer, Payment collection| Costing| Business Development Executive| Lead generation| Sales| Vendor| Cost,"Sales , Retail , Business Development","Recruitment, Staffing",Others
Client Servicing Executive, Internship| Digital marketing| Social media| Relationship building| Animation| Creative| Indesign| Business Executive| Presentation skills| Senior,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Marketing
Sales Executive / Officer,market penetration|marketing|customer satisfaction|enterprise business|web technologies|business development|strategy|aws|sales,"Sales , Retail , Business Development",IT-Software / Software Services,Others
Software Developer, jquery| git| microsoft sql server| net asp net| software| testing| ado.net| microsoft| tools| sql| unit tests| database| application| web| design| .net| object oriented programming| support| programming,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Recruitment Executive,technical recruitment| us staffing| us recruitment| us recruiter| us it staffing| technical recruiter| it recruiter| recruiter| w2| c2c| talent acquisition| recruitment| staffing| sourcing,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Others
Sales Coordinator, Project Administration| Coordination,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Others
Solution Architect / Enterprise Architect, Order Management system| Sterling Commerce| Sterling| OMS| Sterling Integrator| ecommerce| E - commerce,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",IT
Software Developer, analytical| documentation| web development| algorithms| development| javascript| sql server| jquery| database| web| flex| design| mysql| net,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Workman/Foreman/Technician, NCTVT,"Production , Manufacturing , Maintenance","Internet, Ecommerce",Others
Software Developer, Drupal| Application programming| MySQL| Wordpress| PHP| CakePHP| Team Leader| MVC| Zend| Software services,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",IT
Sales Executive/Officer, Outbound| Sales| Project management| Analytical| Sales Lead| Automation tools| Sales process| marketing automation,"Sales , Retail , Business Development","Internet, Ecommerce",Others
Design Engineer/Manager,AutoCAD| 3D Modeling| FMEA| Mechanical Engineering| Mechanical Design| SolidWorks,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Others
Technical Lead/Project Lead, Automation Engineer,"Engineering Design , R&D","Industrial Products, Heavy Machinery",IT
Team Leader -(NonTechnical), Revenue Cycle Management| US Healthcare| Payment Posting| Medical Billing| Medical Coding| us visa| Team Leading Skills| Healthcare| Denial Management| RCM,"ITES , BPO , KPO , LPO , Customer Service , Operations","Medical, Healthcare, Hospitals",IT
Quality Assurance/Quality Control Executive, Voice process| qaqc| Writing| Process operations| Verbal,"ITES , BPO , KPO , LPO , Customer Service , Operations","Internet, Ecommerce",IT
Analytics Manager, Predictive Modeling| SAS| Data Management| Data Mining| Tableau| Data Analytics| Statistics| Analytics| SQL| Python,Analytics & Business Intelligence,"IT-Software, Software Services",IT
Trainee, molecular biology| chemistry| biotechnology| bhms| biology| Physiotherapy| microbiology| nursing| biomedical| Physics| medical coding| biochemistry| pharmacy| Ophthalmology| micro biology| Bioinformatics| zoology| biotech,"ITES , BPO , KPO , LPO , Customer Service , Operations","Medical, Healthcare, Hospitals",IT
Accounts Executive/Accountant, accounts executive| accountant| Stock Management| gst| auditing| Statutory Compliance| accounting| Account Assistant| Bank Reconciliation| tax audit| banking| monthly reports| Payroll| salary processing| income tax| Income Tax Return| taxation,"Accounts , Finance , Tax , Company Secretary , Audit","Architecture, Interior Design",Others
Software Developer, Informatica Power Center| Informatica,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",IT
Search Engine Optimisation /SEO Specialist, digital marketing| seo specialist| advertising agency| online marketing| seo| seo expert| facebook marketing,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Marketing
Engineering Manager, Validation| Installation| Breakdown Maintenance| Industrial Safety| gmp| Boiler| Design| HVAC| Gensets| Air Compressor| Breakdown| RO| who,"Production , Manufacturing , Maintenance","Pharma, Biotech, Clinical Research",IT
Financial Analyst, Forecasting,"Accounts , Finance , Tax , Company Secretary , Audit","Oil and Gas, Energy, Power, Infrastructure",Others
PPC /Pay Per Click Specialist, Pay Per Click| Google AdWords| Search Engine Marketing| PPC| SEM| Google Analytics| Website Analysis| Yahoo| Web Analytics| Marketing Initiatives,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",Marketing
Medical Representative, marketing officer| pharma sales| Marketing Representative| marketing executive| pharma marketing| sales officer| sales representative| business development executive| Fresher| trainee| sales executive,"Sales , Retail , Business Development","Pharma, Biotech, Clinical Research",Others
Project Manager-Production/Manufacturing/Maintenance, Project management| PPAP| Automotive| External audit| Conflict resolution| Resource mobilization| PFMEA| Risk management| Project life cycle,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",IT
Public Relations & Media Relations Manager, PR| Public Relations| Media Relations| Social Media| Marketing Communication| corporate communication| media relation| corp comm| Online Media| public relation| Journalism| Advertising| mass communication,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Marketing
Fresher, counselling| couselling| fresher| student counsellor| student counseling,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Others
Fresher, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,"Production , Manufacturing , Maintenance","Recruitment, Staffing",Others
Software Developer, asp dot net| .net developer| Dot Net Developer| asp.net| asp . net,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Other, Secondary Research| Valuation| Finance| Real Estate| Primary| Report Preparation| Business Development| Due Diligence| Financial Modelling,Analytics & Business Intelligence,"Real Estate, Property",Others
Lecturer/Professor, Teaching| Educator| Counselor| Mentor| Trainer| Advisor,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Others
Documentation/Medical Writing, X - Ray| Medical Transcription| Ultrasound| CT Scan,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Healthcare
Software Developer, cms| javascript| wordpress| drupal| joomla| ajax| cakephp| zend| knowledge| xhtml,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Sales/Business Development Manager, Sales| Management| Sales management| Educational sales,"Sales , Retail , Business Development","Education, Teaching, Training",Others
Associate/Senior Associate -(NonTechnical), Outbound| Antivirus| Technical support| Technical Support Associate| process| Sales| Inbound calls| US shift| Comp,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Associate/Senior Associate -(NonTechnical), Technical support| English| Comp| Customer Care Executive| Inbound calls| Antivirus| Issue| Software,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
IT/Networking-Manager,C#|Application Development|Senior Level|MS SQL|Visual Basic|Power Bi|MSBI|SSIS|Recruitment|Data Integration,"IT Software - Application Programming , Maintenance",Banking / Financial Services / Broking,IT
Sales Executive/Officer, Escalation management| Field Sales Executive| Sales achievement| Training| Insurance sales,"Sales , Retail , Business Development","Real Estate, Property",Others
Sales Trainer, Team management| Salesforce| Usage| Sales| Skill development| Training| Productivity improvement| Training management| Sales budgeting| TSI,"Sales , Retail , Business Development","FMCG, Foods, Beverage",Others
Associate/Senior Associate -(Technical), Networking| Unix| Change management| Scheduling| Publishing| Incident management| VMware| Problem management| Remedy| SIP,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Trainer, planning| training| training manager| trainer| faculty,"Teaching , Education , Training , Counselling","Wellness , Fitness , Sports, Beauty",Others
Sales/Business Development Manager, Sales| Billing| MS Office| Business reporting| Insurance sales| MIS preparation| Usage| Corporate| Networking| Retail,"Sales , Retail , Business Development","IT-Software, Software Services",Others
Technical Support Engineer, customer support| support service| field support| team| management| supervisor| self motivated| continuous improvement| give| enthusiastic,"IT Software - Application Programming , Maintenance",Other,IT
Software Developer, Javascript| SQL| XML| server| css| technical| software| developing| HTML| tracking| database| web| Application development| net| programming| Ajax| development| DOM| solid| data integrity| Stored procedures| Reporting tools| application| applications,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Senior Design Engineer, Senior Design Engineer| Engineering Design| SACS,"Engineering Design , R&D","Strategy, Management Consulting Firms",IT
Head/VP/GM-Technology(IT)/CTO, C| Python| Six Sigma| PMP| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems,"IT Software - Network Administration , Security","IT-Software, Software Services",IT
Associate/Senior Associate -(Technical), Technical Support Executive| Electrical engineering,"ITES , BPO , KPO , LPO , Customer Service , Operations","Internet, Ecommerce",IT
Business Analyst, Data analysis| Automation| Google Analytics| Excel| Analytical| Business intelligence| Analytics| Product marketing| SQL| Data extraction,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Software Developer,Detail Design|Juniper|SMSC Engineer|Routing|IP Networking|Network Elements|Network Troubleshooting|High Level Design|Data Center|Switching,"IT Software - Network Administration , Security",Telecom / ISP,IT
Restaurant Manager, assistant restaurant manager| restaurant| restaurant manager,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Others
Graphic Designer, layout| visualization| digital media| graphic design| html| illustration| tools| part time,"Design , Creative , User Experience","Advertising, PR, MR, Event Management",Others
Head/VP/GM/National Manager -Sales, selling| accounts| events| prospecting| business operations| ideas| coordinating| tracking| closing| maintaining,"Sales , Retail , Business Development","IT-Software, Software Services",Others
Web Designer,photoshop| illustrator| seo| jquery| fireworks| css3| gui| usability| development| static,"Design , Creative , User Experience","IT-Software, Software Services",IT
Graphic/Web Designer,Photoshop| HTML| Wordpress| CSS3| bootstrap| Web technologies| html5| CSS,"IT Software - eCommerce , Internet Technologies","Recruitment, Staffing",IT
Software Developer, Python,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",IT
Graphic/Web Designer,server| multimedia| troubleshooting| graphics| audio| monitoring| javascript| jquery| user interface| css3,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",IT
Head/VP/GM-Operations, Senior management| MIS reporting| Building| Training| Management| Risk| Vice President| Focus| Trade| Associate Vice President,"Financial Services , Banking , Investments , Insurance","Recruitment, Staffing",Others
Head/VP/GM/National Manager -Sales, Sales Head| Tied Channel| Sales| Business Growth| Profitability| Business Operations| New Business| Alliances,"Sales , Retail , Business Development",Insurance,Others
Head/VP/GM-Operations, Project Management,"Production , Manufacturing , Maintenance","Real Estate, Property",Others
Research Scientist, QA| Life Sciences| development quality assurance| Life Cycle| Regulatory Affairs| DQA| QMS| Dmf,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Pharma, Biotech, Clinical Research",Healthcare
Accounts Manager, accounting| finance| financial reporting| statutory compliance| gst| vat,"Accounts , Finance , Tax , Company Secretary , Audit",Iron and Steel,Others
Sales/Business Development Manager, Data analysis| Consumer research| Management| Head Business Development,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Others
Testing Engineer, Testing| Quality| Manual Testing| ETL| BI| DW| Datawarehouse Testing,IT Software - QA & Testing,"IT-Software, Software Services",IT
Quality Assurance/Quality Control Executive, assembly language| Six Sigma| PMP| C| JavaScript| .NET| HTML| Oracle| Python| SQL,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Sales Executive/Officer, Product management| Business process| Linkedin| Automation| CV| Email| GIT| Technical| SDLC| Ideas,"Sales , Retail , Business Development","IT-Software, Software Services",IT
Software Developer, ajax| javascript| php| erp| website| development| software development| module| mca| application development| application| web| programming,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Associate/Senior Associate -(NonTechnical), customer service| customer care| team| communication| bpo| call center| inbound| voice| backend| non voice| telecalling| cse| cro| cce| data entry| back office| voice process| domestic bpo| fresher| trainee| Telemarketing| Outbound| sales| hardware| networking,"ITES , BPO , KPO , LPO , Customer Service , Operations","Fresher, Trainee, Entry Level",IT
Software Developer,Oracle|Core Java|Business process|Outsourcing|Operations|spring integration|J2Ee|Spring framework|JEE|Manager Technology,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,IT
Associate/Senior Associate -(NonTechnical), MS Office| Data entry,"ITES , BPO , KPO , LPO , Customer Service , Operations","Strategy, Management Consulting Firms",IT
Sales/Business Development Manager, Customer relationship| Automobile| Proposal preparation| CRM strategy| Architecture| Database| Testing,"Sales , Retail , Business Development","IT-Software, Software Services",IT
Software Developer,Unix| Version control| Prototype| XML| MySQL| PHP| JSON| MVC| Ajax| CSS3,IT Software - System Programming,"BPO, Call Centre, ITeS",IT
Merchandiser, Merchandising| Buyer Activities| Follow Ups| Vendor| purchase| vendor development| tracking,"Export , Import , Merchandising","Textiles, Garments, Accessories",Others
Team Lead/Technical Lead, C#| Azure| Powershell| Script Writing| API| Debugging| Devops| Application Integration,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",IT
Executive/ Sr Executive - Administration, operations management| mobilization| Resource Mobilization| general management| interview| Recruitment,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Others
Associate/Senior Associate -(NonTechnical), Customer Support Executive| Customer service| Business Executive| process,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
DaycareTeacher / Incharge / Attendant, Staff Training| Day Care| Recruitment,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Others
Associate/Senior Associate -(Technical), process| Spot| Technical support| Night shift| International BPO,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",IT
Social Media Marketing Manager,digital marketing|email marketing|adwords|display advertising|digital campaigns|google analytics|sem|seo,"Marketing , Advertising , MR , PR , Media Planning",Education / Teaching / Training,Marketing
Team Lead/Technical Lead,java| cisco call manager| visa| j2ee| sip| offshore| communication skills,IT Software - Telecom Software,"IT-Software, Software Services",IT
Sales / BD Manager, Sales| Business Development| Change Management| Mobile| mobiles| handset| mobile handset| Marketing| Relationship Management| Distribution Management| channel management| dealer management| Retailer,"Sales , Retail , Business Development","Consumer Electronics, Appliances, Durables",Others
